S.No.,Song,Artist,Writer,Album,Year,Lyrics
74,"""Steal My Girl""",One Direction,"Wayne Hector, John Ryan, Julian Bunetta, Ed Drewett, Louis Tomlinson, Liam Payne",Four,2014,"[Intro]

[Verse 1: Zayn]
She been my queen since we were sixteen
We want the same things, we dream the same dreams
Alright, alright
I got it all 'cause she is the one
Her mum calls me ""Love,"" her dad calls me ""Son""
Alright, alright

[Pre-Chorus: Niall]
I know, I know, I know for sure

[Chorus: All]
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

[Post-Chorus: All, Liam]
Na-na-na-na-na-na-na (Oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na
She belongs to me

[Verse 2: Liam, Louis & Liam, Louis]
Kisses like cream, her walk is so mean
And every jaw drops when she's in those jeans
Alright, alright
I don't exist if I don't have her
The sun doesn't shine, the world doesn't turn
Alright, alright

[Pre-Chorus: Niall]
But I know, I know, I know for sure

[Chorus: All]
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

[Post-Chorus: All, Liam]
Na-na-na-na-na-na-na (Oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na-na-na

[Bridge: Harry]
She knows, she knows
That I never let her down before
Oh, she knows, she knows
That I'm never gonna let another take her love from me now

[Chorus: All, Zayn]
Everybody wanna steal my girl (Wants to steal my girl)
Everybody wanna take her heart away (Wants to take her love away)
Couple billion in the whole wide world
Find another one 'cause she belongs to me
(Well, find another one 'cause she belongs to me)
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me (Oh, yeah)

[Post-Chorus: All, Niall, Zayn]
Na-na-na-na-na-na-na (Oh, yeah, alright, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na
She belongs to me
Na-na-na-na-na-na-na (She belongs to me, yeah, oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na
She belongs to me"
75,"""Still the One""",One Direction,"Rami Yacoub, Carl Falk, Savan Kotecha, Harry Styles, Liam Payne, Louis Tomlinson",Take Me Home,2012,"[Verse 1: Liam, Louis]
Hello, hello, I know it's been a while, but, baby
I got something that I really wanna let you know, yeah
Something that I wanna let you know
You say, you say to everybody that you hate me
Couldn't blame you 'cause I know I left you all alone, yeah
I know that I left you all alone

[Pre-Chorus: Harry]
And yeah, now I'm back at your door
You're lookin' at me unsure
I shoulda seen it before
You're all I think about, baby

[Chorus: All, Harry]
I was so stupid for lettin' you go
But I-I-I know you're still the one
You might have moved on, but, girl, you should know
That I-I-I know you're still the one
I know it's saying too much, but I will never give up
I was so stupid for lettin' you go
But I-I-I know you're still the one
I-I-I know you're still the one

[Verse 2: Niall, Harry & Niall]
Hello, hello, I'm really hoping you'll forgive me
I keep talking, begging, tell me what I wanna hear, yeah
Girl, just tell me what I wanna hear
I tried, I'll try to start again and find somebody
But I remember all the times and all the words we said, yeah
I can't get it out of my head

[Pre-Chorus: Zayn, Zayn & Liam]
And yeah, now I'm back at your door
You're lookin' at me unsure
I shoulda seen it before
You're all I think about, baby

[Chorus: All, Zayn]
I was so stupid for lettin' you go
But I-I-I know you're still the one
You might have moved on, but, girl, you should know
That I-I-I know you're still the one (The one)
I know it's saying too much, but I will never give up
I was so stupid for lettin' you go (Lettin' you go)
But I-I-I know you're still the one

[Post-Chorus: Zayn]
I-I-I know, I-I-I know
I-I-I know, I-I-I know

[Bridge: Harry]
Hey, you, you're still the one
Hey, you, you're still the one
Hey, you, you're still the one
Hey, you, you're still the one

[Outro: All, Zayn, Harry]
I know I'm saying too much (Yeah)
But I will never give up (Up, c'mon)
I was so stupid for lettin' you go (You go)
But I-I-I know you're still the one
I-I-I know you're still the one"
76,"""Stockholm Syndrome""",One Direction,"Harry Styles, Julian Bunetta, John Ryan, Johan Carlsson",Four,2014,"[Verse 1: Harry, Zayn]
Who's that shadow holding me hostage? I've been here for days
Who's this whisper telling me that I'm never gonna get away?
I know they'll be coming to find me soon
But I fear I'm getting used to
Being held by you

[Chorus: All]
Oh, baby, look what you've done to me
Oh, baby, look what you've done now
Oh, baby, I'll never leave if you keep holding me this way (Oh-oh-oh)
Oh, baby, look what you've done to me
Oh, baby, you got me tied down
Oh, baby, I'll never leave if you keep holding me this way (Oh-oh-oh)

[Verse 2: Louis, All, Niall]
Who's this man that's holding your hand and talking 'bout your eyes? (Oh-oh-oh)
Used to sing about being free but now he's changed his mind (Oh-oh-oh)
I know they'll be coming to find me soon
But my Stockholm syndrome is in your room
Yeah, I fell for you

[Chorus: All]
Oh, baby, look what you've done to me
Oh, baby, look what you've done now
Oh, baby, I'll never leave if you keep holding me this way (Oh-oh-oh)
Oh, baby, look what you've done to me
Oh, baby, you got me tied down
Oh, baby, I'll never leave if you keep holding me this way (Oh-oh-oh)

[Bridge: Liam, All]
All my life, I've been on my own (Oh-oh-oh)
I used the light to guide me home (Oh-oh-oh)
But now together we're alone (Oh-oh-oh)
And there's no other place I'd ever wanna go

[Breakdown: All, Harry]
(Look what you've done to me)
Baby, look what you've done

[Chorus: All, Harry]
Oh, baby, look what you've done to me
Oh, baby, look what you've done (Done) now
Oh, baby, I'll never leave if you keep holding me this way (Oh-oh-oh)
(Look what you've done to me, baby)
Oh, baby, look what you've done to me
Oh, baby, you got me tied down
(Look what you've done to me, baby)
Oh, baby, I'll never leave if you keep holding me this way (Oh-oh-oh)

[Outro: All]
(Look what you've done to me, baby)
Oh, baby, look what you've done
(Look what you've done to me, baby)
(Oh-oh-oh) Oh, baby, look what you've done to me
(Look what you've done to me, baby)"
77,"""Stole My Heart""",One Direction,"Jamie Scott, Paul Meehan",Up All Night,2011,"[Intro: Harry]
Waiting for a girl like you

[Verse 1: Liam]
The light shines, it's getting hot on my shoulders
I don't mind, this time it doesn't matter
'Cause your friends, they look good and you look better

[Pre-Chorus: Liam]
Don't you know all night
I've been waiting for a girl like you
To come around, 'round, 'round

[Chorus: Harry]
Under the lights tonight, you turned around
And you stole my heart with just one look
When I saw your face, I fell in love
Took a minute, girl, to steal my heart tonight
With just one look, yeah
Been waiting for a girl like you

[Verse 2: Liam]
I'm weaker, my worlds fall and they hit the ground
Oh, life, come on 'head, don't you fail me now
I start to say, ""I think I love you,"" but I make no sound

[Pre-Chorus: Liam]
And, oh, 'cause all my life
I've been waiting for a girl like you
To come around

[Chorus: Harry]
Under the lights tonight, you turned around
And you stole my heart with just one look
When I saw your face, I fell in love
Took a minute, girl, to steal my heart tonight
With just one look, yeah
Been waiting for a girl like you

[Bridge: Zayn]
There is no other place that I would rather be
Than right here with you tonight
As we lay on the ground, I put my arms around you
And we can stay here tonight
'Cause there's so much that I wanna say
I wanna say

[Chorus: Harry]
Under the lights tonight, you turned around
And you stole my heart with just one look
When I saw your face, I fell in love
Took a minute, girl, to steal my heart
Under the lights tonight, you turned around
And you stole my heart with just one look
When I saw your face, I fell in love
Took a minute, girl, to steal my heart tonight
With just one look, yeah
Been waiting for a girl like you

[Outro: Harry]
Been waiting for a girl like you"
78,"""Story of My Life""",One Direction,"Jamie Scott, Julian Bunetta, John Ryan, Harry Styles, Liam Payne, Louis Tomlinson, Niall Horan, Zayn Malik",Midnight Memories,2013,"[Verse 1: Harry & Liam]
Written in these walls are the stories that I can't explain
I leave my heart open, but it stays right here empty for days
She told me in the mornin' she don't feel the same about us in her bones
It seems to me that when I die, these words will be written on my stone

[Pre-Chorus: Zayn & All]
And I'll be gone, gone tonight (Oh-oh-oh)
The ground beneath my feet is open wide (Oh-oh-oh)
The way that I've been holding on too tight (Oh-oh-oh)
With nothing in between

[Chorus: Harry & All]
The story of my life, I take her home
I drive all night to keep her warm
And time is frozen (The story of, the story of)
The story of my life, I give her hope
I spend her love until she's broke inside
The story of my life (The story of, the story of)

[Verse 2: Niall & Liam]
Written on these walls are the colors that I can't change
Leave my heart open, but it stays right here in its cage
I know that in the mornin', I'll see us in the light up on the hill
Although I am broken, my heart is untamed still

[Pre-Chorus: Louis, All]
And I'll be gone, gone tonight (Oh-oh-oh)
The fire beneath my feet is burning bright (Oh-oh-oh)
The way that I've been holding on so tight (Oh-oh-oh)
With nothing in between

[Chorus: Harry, All]
The story of my life, I take her home
I drive all night to keep her warm
And time is frozen (The story of, the story of)
The story of my life, I give her hope
I spend her love until she's broke inside
The story of my life (The story of, the story of)

[Bridge: Zayn]
And I've been waiting for this time to come around
But, baby, running after you is like chasin' the clouds

[Breakdown: Niall]
The story of my life, I take her home
I drive all night to keep her warm
And time is frozen

[Chorus: All & Zayn]
The story of my life, I give her hope (I give her hope)
I spend her love until she's broke inside ('Til she's broke inside)
The story of my life (The story of, the story of)

[Outro: All & Harry]
The story of my life
The story of my life (The story of, the story of)
The story of my life"
79,"""Strong""",One Direction,"Jamie Scott, Julian Bunetta, John Ryan, Louis Tomlinson",Midnight Memories,2013,"[Verse 1: Zayn, Liam]
My hands, your hands, tied up like two ships
Drifting, weightless, waves try to break it
I'd do anything to save it
Why is it so hard to save it?
My heart, your heart, sit tight like bookends
Pages between us written with no end
So many words we're not saying
Don't wanna wait till it's gone
You make me strong

[Chorus: All & Harry]
I'm sorry if I say I need you
But I don't care, I'm not scared of love
'Cause when I'm not with you, I'm weaker
Is that so wrong? Is it so wrong
That you make me strong?

[Verse 2: Louis]
Think of how much love that's been wasted
People always trying to escape it
Move on to stop their heart breaking
But there's nothing I'm running from
You make me strong

[Chorus: All]
I'm sorry if I say I need you
But I don't care, I'm not scared of love
'Cause when I'm not with you, I'm weaker
Is that so wrong? Is it so wrong?

[Bridge: Zayn]
So, baby, hold on to my heart, oh
Need you to keep me from fallin' apart
I'll always hold on 'cause you make me strong

[Chorus: Niall, All, Harry]
I'm sorry if I say I need you
But I don't care, I'm not scared of love
'Cause when I'm not with you, I'm weaker
Is that so wrong? Is it so wrong?
I'm sorry if I say I need you
But I don't care, I'm not scared of love
'Cause when I'm not with you, I'm weaker
Is that so wrong? Is it so wrong
That you make me strong?
I'm sorry if I say I need you
But I don't care, I'm not scared of love
'Cause when I'm not with you, I'm weaker
Is that so wrong? Is it so wrong
That you make me strong?"
80,"""Summer Love""",One Direction,"Steve Robson, Wayne Hector, Lindy Robbins, Harry Styles, Liam Payne, Louis Tomlinson, Niall Horan, Zayn Malik",Take Me Home,2012,"[Intro: Zayn, Liam, Zayn & Liam]
Yeah
Ooh, ooh

[Verse 1: Zayn]
Can't believe you're packing your bags
Trying so hard not to cry
Had the best time, and now it's the worst time
But we have to say goodbye

[Pre-Chorus 1: Harry]
Don't promise that you're gonna write
Don't promise that you'll call
Just promise that you won't forget we had it all

[Chorus: Zayn]
'Cause you were mine for the summer
Now we know it's nearly over
Feels like snow in September
But I always will remember

[Post-Chorus: Zayn, All]
You were my summer love
You always will be my summer love

[Verse 2: Louis]
Wish that we could be alone now
If we could find some place to hide
Make the last time just like the first time
Push a button and rewind

[Pre-Chorus 2: Liam]
Don't say the word that's on your lips
Don't look at me that way
Just promise you'll remember when the sky is grey

[Chorus: Zayn, All]
'Cause you were mine for the summer
Now we know it's nearly over
Feels like snow in September
But I always will remember

[Post-Chorus: All, Zayn]
You were my summer love
You always will be my summer love

[Bridge: Zayn & Liam, Zayn & Harry]
So, please, don't make this any harder
We can't take this any further
And I know there's nothing that I wanna change, change

[Chorus: Zayn & Harry, Zayn, Harry, All]
'Cause you were mine for the summer
Now we know it's nearly over
Feels like snow in September
But I always will remember (Will remember)

[Post-Chorus: Zayn, All, Louis, Niall, *Harry*]
You were my summer love (Summer love)
You always will be my summer love (Summer love)
You always will be my summer love (*Yeah*)
You always will be my summer love"
81,"""Taken""",One Direction,"Toby Gad, Lindy Robbins, Harry Styles, Liam Payne, Louis Tomlinson, Niall Horan, Zayn Malik",Up All Night,2011,"[Verse 1: Liam]
Now that you can't have me
You suddenly want me
Now that I'm with somebody else
You tell me you love me
I slept on your doorstep
Beggin' for one chance
Now that I finally moved on
You say that you missed me all along

[Chorus: Harry]
Who do you think you are?
Who do you think I am?
You only love to see me breakin'
You only want me 'cause I'm taken
You don't really want my heart
No, you just like to know you can
Still be the one who gets it breakin'
You only want me when I'm taken

[Verse 2: Harry]
You're messin' with my head
Girl, that's what you do best
Sayin' there's nothing you won't do
To get me to say ""Yes""
You're impossible to resist
But I wouldn't bet your heart on it
It's like I'm finally awake
And you're just a beautiful mistake

[Chorus: Harry]
Who do you think you are?
Who do you think I am?
You only love to see me breakin'
You only want me 'cause I'm taken
You don't really want my heart
No, you just like to know you can
Still be the one who gets it breakin'
You only want me when I'm taken

[Bridge: Zayn]
Thank you for showing me who you are underneath, no
Thank you, I don't need another heartless misery
You think I'm doing this to make you jealous
And I know that you hate to hear this
But this is not about you anymore

[Chorus: Harry & Zayn]
Who do you think you are?
Who do you think I am?
You only love to see me breakin'
You only want me 'cause I'm taken
You don't really want my heart
No, you just like to know you can (No, you don't, no, you don't)
Still be the one who gets it breakin' (Breakin')
You only want me when I'm taken

[Outro: Liam]
Now that you can't have me
You suddenly want me"
82,"""Tell Me a Lie""",One Direction,"Kelly Clarkson, Tom Meredith, Shep Solomon",Up All Night,2011,"[Verse 1: Liam, Zayn]
Can't ever get it right
No matter how hard I try, and I've tried
Well, I put up a good fight
But your words cut like knives and I'm tired

[Pre-Chorus: Zayn]
As you break my heart again this time

[Chorus: All, Liam]
Tell me I'm a screwed up mess
That I never listen, listen
Tell me you don't want my kiss
That you need your distance, distance
Tell me anything, but don't you say
He's what you're missing, baby
If he's the reason that you're leaving me tonight
Spare me what you think and tell me a lie

[Verse 2: Liam, Harry]
Well, you're the charming type
That little twinkle in your eye gets me every time
And, well, there must've been a time
I was the reason for that smile, so keep in mind

[Pre-Chorus: Liam]
As you take what's left of you and I

[Chorus: All, Liam]
Tell me I'm a screwed up mess
That I never listen, listen
Tell me you don't want my kiss
That you need your distance, distance
Tell me anything, but don't you say
He's what you're missing, baby
If he's the reason that you're leaving me tonight
Spare me what you think and tell me a lie

[Bridge: Zayn]
Tell me a lie
Tell me a lie
Tell me a lie

[Chorus: Zayn, All, Liam]
Tell me I'm a screwed up mess
That I never listen, listen (Listen)
Tell me you don't want my kiss
That you need your distance, distance
Tell me anything, but don't you say
He's what you're missing, baby
If he's the reason that you're leaving me tonight (Me tonight)
Spare me what you think and tell me a lie

[Outro: Zayn, Liam]
Tell me a lie
Tell me a lie
Tell me a lie
Tell me a lie"
83,"""Temporary Fix""",One Direction,"Niall Horan, Wayne Hector, TMS",Made in the A.M.,2015,"[Verse 1: Niall]
Saw your body language and I know how you're feelin'
You look like the kind of girl who's tired of speakin'
Standing with somebody, but he doesn't know what you like
You caught my attention, you were looking at me first
All that I can see's you waking up in my T-shirt
If you're not hooked to anything right now, I can be your vice

[Pre-Chorus: Liam]
All you need to know is

[Chorus: All, Niall]
You can call me when you're lonely
When you can't sleep, I'll be your temporary fix
You control me, even if it's just tonight (Yeah, yeah, yeah)
You can call me when you feel like
I'm your good time, I'll be your temporary fix
You can own me, and we'll call this what you like
Let me be your good night

[Verse 2: Harry, Harry & Liam]
The night is on your lips and I feel like I'm locked in
There's a million lights, I don't care if they're watchin'
Your body's saying everything, I don't have to read your mind
Feel you on my neck while I'm calling a taxi
Climbing over me while I climb in the backseat
Now we're taking off, now we're taking it off tonight

[Pre-Chorus: Liam]
All you need to know is

[Chorus: All, Harry]
You can call me when you're lonely
When you can't sleep, I'll be your temporary fix
You control me, even if it's just tonight (Yeah, yeah, yeah)
You can call me when you feel like
I'm your good time, I'll be your temporary fix
You can own me, and we'll call this what you like
Let me be your good night

[Bridge: Louis, Harry]
We can roll in the darkness (Yeah!)
Let me touch you where your heart is
And if you're feeling the weakness (Yeah!)
Well, I told you, baby, that you can call me, ow!
Hey, hey!
I'll be your temporary fix, you can call me

[Chorus: All, Harry]
You can call me when you're lonely
When you can't sleep, I'll be your temporary fix
You control me, even if it's just tonight (Yeah, yeah, yeah)
You can call me when you feel like
I'm your good time, I'll be your temporary fix
You can own me, and we'll call this what you like
Let me be your good night"
84,"""They Don't Know About Us""",One Direction,"Tebey Ottoh, Tommy Lee James, Peter Wallevik, Tommy P Gregersen",Take Me Home,2012,"[Verse 1: Liam, All, Harry]
People say we shouldn't be together
We're too young to know about forever
But I say, ""They don't know
What they talk, talk, talkin' about"" (Talk, talk, talkin' about)
'Cause this love is only getting stronger
So I don't wanna wait any longer
I just wanna tell the world that you're mine, girl, oh

[Chorus: Zayn, All, Liam]
They don't know about the things we do
They don't know about the I love you's
But I bet you, if they only knew (They don't know)
They would just be jealous of us
They don't know about the up all nights
They don't know I've waited all my life
Just to find a love that feels this right (They don't know)
Baby, they don't know about, they don't know about us

[Verse 2: Niall, Harry]
Just one touch and I was a believer
Every kiss, it gets a little sweeter
It's getting better
Keeps getting better all the time, girl

[Chorus: Zayn, All, Liam]
They don't know about the things we do
They don't know about the I love you's
But I bet you, if they only knew (They don't know)
They would just be jealous of us
They don't know about the up all nights
They don't know I've waited all my life
Just to find a love that feels this right
Baby, they don't know about, they don't know about us

[Bridge: Louis]
They don't know how special you are
They don't know what you've done to my heart
They can say anything they want
'Cause they don’t know us

[Builtup: Niall, Zayn]
They don't know what we do best
That's between me and you, our little secret
But I wanna tell 'em
I wanna tell the world that you're mine, girl

[Chorus: All, Zayn]
They don't know about the things we do (They don't know about the)
They don't know about the I love you's (I love you's)
But I bet you, if they only knew (If they only knew)
They would just be jealous of us (They would just be jealous of us)
They don't know about the up all nights
They don't know I've waited all my life (They don't know I've waited all my life)
Just to find a love that feels this right (It feels so right)
Baby, they don't know about (They don't know about us)
They don't know about the things we do (They don't know about us)
They don't know about the I love you's (They don't know about us)
But I bet you, if they only knew
They would just be jealous of us (They would just be jealous of us)
They don't know about the up all nights (Up all nights)
They don't know I've waited all my life (All my life)
Just to find a love that feels this right (Right)
Baby, they don't know about, they don't know about us

[Outro: Zayn]
They don't know about us"
85,"""Through the Dark""",One Direction,"Jamie Scott, Toby Smith, Liam Payne, Louis Tomlinson",Midnight Memories,2013,"[Verse 1: Liam]
You tell me that you're sad and lost your way
You tell me that your tears are here to stay
But I know you were only hidin'
And I just wanna see ya
You tell me that you're hurt and you're in pain
And I can see your head is held in shame
But I just wanna see you smile again
See you smile again

[Pre-Chorus: Niall]
But don't burn out
Even if you scream and shout
It'll come back to you
And I'll be here for you

[Chorus: All, Harry]
Oh, I will carry you over
Fire and water for your love
And I will hold you closer
Hope your heart is strong enough
When the night is coming down on ya
We will find a way
Through the dark

[Verse 2: Zayn, Louis]
I wish that I could take you to the start
I'd never let you fall and break your heart
And if you wanna cry or fall apart
I'll be there to hold ya
You tell me that you're hurt, it's all in vain
But I can see your heart can love again
And I remember you laughin'
So let's just laugh again


[Pre-Chorus: Niall]
But don't burn out
Even if you scream and shout
It'll come back to you
Back to you

[Chorus: All, Zayn]
Oh, I will carry you over
Fire and water for your love
And I will hold you closer
Hope your heart is strong enough
When the night is coming down on ya
We will find a way
Through the dark

[Bridge: Zayn]
And you don't need, you don't need to worry
And you will see, it's easy to be loved
I know you wanna be loved

[Breakdown: Liam]
Oh, I will carry you over
Fire and water for your love

[Chorus: All, Harry, Zayn]
Oh, I will carry you over
Fire and water for your love
And I will hold you closer
Hope your heart is strong enough
When the night is coming down on ya
We will find a way
Through the dark
Oh, I will carry you over (Oh, I would, oh, I would)
Fire and water for your love
And I will hold you closer
Hope your heart is strong enough
When the night is coming down
We will find a way
Through the dark"
86,"""Truly, Madly, Deeply""",One Direction,"Trevor Dahl, Toby Gad, Lindy Robbins",Take Me Home,2012,"[Verse 1: Liam, Niall]
Am I asleep, am I awake or somewhere in between?
I can't believe that you are here and lying next to me
Or did I dream that we were perfectly entwined?
Like branches on a tree or twigs caught on a vine
Like all those days and weeks and months I tried to steal a kiss
And all those sleepless nights and daydreams where I pictured this
I'm just the underdog who finally got the girl
And I am not ashamed to tell it to the world

[Chorus: All]
Truly, madly, deeply, I am foolishly, completely falling
And somehow you kicked all my walls in
So, baby, say you'll always keep me
Truly, madly, crazy, deeply in love with you
In love with you

[Verse 2: Liam, Zayn]
Should I put coffee and granola on a tray in bed
And wake you up with all the words that I still haven't said?
And tender touches just to show you how I feel
Or should I act so cool, like it was no big deal?
Wish I could freeze this moment in a frame and stay like this
I'll put this day back on replay and keep reliving it
'Cause here’s the tragic truth, if you don't feel the same
My heart would fall apart if someone said your name

[Chorus: All]
And truly, madly, deeply, I am foolishly, completely falling
And somehow you kicked all my walls in
So, baby, say you'll always keep me
Truly, madly, crazy, deeply in love with you

[Bridge: Louis, Louis & Niall]
I hope I'm not a casualty
Hope you won't get up and leave
Might not mean that much to you
But to me it's everything, everything

[Chorus: All, Zayn, Louis]
Truly, madly, deeply, I am foolishly, completely falling
And somehow you kicked all my walls in
So, baby, say you'll always keep me
Truly, madly, crazy, deeply in love (In love) with you (With you)
(In love with you) In love (In love) with you (With you)
(In love, with you) In love (In love) with you (With you)
With you, oh"
87,"""Up All Night""",One Direction,"Savan Kotecha, Matt Squire",Up All Night,2011,"[Verse 1: Liam, Niall]
It feels like we've been living in fast forward
Another moment passing by (Up, up, up all night)
The party's ending, but it's now or never
Nobody's going home tonight (Up, up, up all night)

[Pre-Chorus: Harry]
Katy Perry's on replay, she's on replay
DJ got the floor to shake, the floor to shake
People going all the way, yeah, all the way
I'm still wide awake

[Chorus: Harry, All]
I wanna stay
Up all night and jump around until we see the sun
I wanna stay up all night and find a girl and tell her she's the one
Hold on to the feeling and don't let it go
'Cause we got the floor now, get out of control
I wanna stay up all night and do it all with you

[Post-Chorus: All]
Up, up, up all night like this, all night (Hey)
Up all night like this, all night (Hey)
Up all night

[Verse 2: Zayn, Niall]
Don't even care about the table breaking
We only wanna have a laugh (Up, up, up all night)
I'm only thinking 'bout this girl I'm seeing
I hope she'll wanna kiss me back (Up, up, up all night)

[Pre-Chorus: Harry]
Katy Perry's on replay, she's on replay
DJ got the floor to shake, the floor to shake
People going all the way, yeah, all the way
I'm still wide awake

[Chorus: Harry, All]
I wanna stay
Up all night and jump around until we see the sun
I wanna stay up all night and find a girl and tell her she's the one
Hold on to the feeling and don't let it go
'Cause we got the floor now, get out of control
I wanna stay up all night and do it all with you

[Post-Chorus: All]
Up, up, up all night like this, all night (Hey)
Up all night like this, all night (Hey)
Up all night

[Bridge: Harry, All, Zayn]
Katy Perry's on replay, she's on replay (Up all night, up all night)
(We're gonna wanna stay up all night)
DJ got the floor to shake, the floor to shake (Up all night, up all night)
We're gonna wanna stay up all night
Up all night, up all night
We're gonna wanna stay up all night (Night)

[Chorus: Harry, All, Zayn]
I wanna stay
Up all night and jump around until we see the sun
I wanna stay up all night and find a girl and tell her she's the one(She's the one)
Hold on to the feeling and don't let it go
(Up all night, up all night)
'Cause we got the floor now, get out of control
(We're gonna wanna stay up all night; Get out of control)
I wanna stay up all night and do it all with you (Do it all with you, with you)

[Post-Chorus: All, Zayn]
Up, up, up all night like this, all night (Hey)
Up all night like this, all night (Hey; Up all night)
Up all night"
88,"""Walking in the Wind""",One Direction,"Harry Styles, Julian Bunetta, Jamie Scott, John Ryan",Made in the A.M.,2015,"[Verse 1: Harry]
A week ago, you said to me
""Do you believe I'll never be too far?""
If you're lost, just look for me
You'll find me in the region of the summer stars
The fact that we can sit right here and say goodbye
Means we've already won
A necessity for apologies between you and me
Baby, there is none

[Pre-Chorus: Niall]
Ah-ooh, we had some good times, didn't we?
Ah-ooh, we had some good tricks up our sleeve
Ah-ooh, goodbyes are bittersweet
But it's not the end, I'll see your face again

[Chorus: All]
And you will find me
Yeah, you will find me
In places that we've never been
For reasons we don't understand
Walking in the wind
Walking in the wind

[Verse 2: Louis]
Yesterday, I went out
To celebrate the birthday of a friend
But as we raised our glasses up to make a toast
I realised you were missing

[Pre-Chorus: Liam]
Ah-ooh, we had some good times, didn't we?
Ah-ooh, we wore our hearts out on our sleeve
Ah-ooh, goodbyes are bittersweet
But it's not the end, I'll see your face again

[Chorus: All]
And you will find me
Yeah, you will find me
In places that we've never been
For reasons we don't understand
Walking in the wind
Walking in the wind

[Bridge: Harry]
And I know we'll be alright, child
Just close your eyes and see
I'll be by your side
Any time you're needing me
Oh, yeah

[Chorus: All, Harry]
And you will find me
Yeah, you will find me (Me)
In places that we've never been (Never been)
For reasons we don't understand (Understand)
Walking in the wind (Wind)
Walking in the wind (Walking in the wind)
Walking in the wind"
89,"""What a Feeling""",One Direction,"Liam Payne, Louis Tomlinson, Mike Needle, Daniel Bryer, Jamie Scott",Made in the A.M.,2015,"[Verse 1: Liam]
Through the wire, through the wire, through the wire
I'm watching her dance, dress is catching the light
In her eyes, there's no lies, no lies
There's no question, she's not in a disguise

[Pre-Chorus: Louis]
With no way out and a long way down
Everybody needs someone around
But I can't hold you too close now
Through the wire, through the wire

[Chorus: All]
What a feeling to be right here beside you now
Holding you in my arms
When the air ran out and we both started running wild
The sky fell down
But you've got stars, they're in your eyes
And I've got something missing tonight
What a feeling to be a king beside you, somehow
I wish I could be there now

[Verse 2: Liam]
Through the wire, through the wire, through the wire
I'm watching you like this, imaginin' you're mine
It's too late, it's too late, am I too late?
Tell me now, am I runnin' out of time?

[Pre-Chorus: Niall & Harry]
With no way out and a long way down
Everybody needs someone around
But I can't hold you too close now
Through the wire, through the wire

[Chorus: All]
What a feeling to be right here beside you now
Holding you in my arms
When the air ran out and we both started running wild
The sky fell down
But you've got stars, they're in your eyes
And I've got something missing tonight
What a feeling to be a king beside you, somehow
I wish I could be there now

[Bridge: Harry]
Whatever chains are holdin' you back
Holdin' you back, don't let 'em tie you down
Whatever change is holdin' you back
Holdin' you back, tell me you believe in that

[Chorus: All]
What a feeling to be right here beside you now
Holding you in my arms
When the air ran out and we both started running wild
The sky fell down
But you've got stars, they're in your eyes
And I've got something missing tonight
What a feeling to be a king beside you, somehow
I wish I could be there now

[Outro: All]
I wish I could be there now"
